created_at,entities,favorite_count,favorited,id,id_str,is_quote_status,lang,metadata,retweet_count,retweeted,source,text,truncated,year,month,day,hour,minute,second,language,result_type,is_translator,id_user,profile_background_image_url,profile_text_color,profile_link_color,verified,profile_image_url_https,id_str_user,following,friends_count,default_profile,profile_background_tile,followers_count,profile_background_image_url_https,statuses_count,description,contributors_enabled,Date
25/03/2018 23:46,"{'urls': [], 'hashtags': [{'indices': [55, 71], 'text': 'EmbraceAmbition'}, {'indices': [106, 122], 'text': 'EmbraceAmbition'}], 'symbols': [], 'user_mentions': [{'screen_name': 'Nasdaq', 'name': 'Nasdaq', 'id': 18639734, 'id_str': '18639734', 'indices': [3, 10]}, {'screen_name': 'ToryBurchFdn', 'name': 'Tory Burch Fdn', 'id': 950097884, 'id_str': '950097884', 'indices': [26, 39]}, {'screen_name': 'Nasdaq', 'name': 'Nasdaq', 'id': 18639734, 'id_str': '18639734', 'indices': [92, 99]}]}",0,FALSE,9.78E+17,9.78E+17,FALSE,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",2,FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Nasdaq: One year ago, @ToryBurchFdn kicked off its #EmbraceAmbition initiative here, at @Nasdaq. ""The #EmbraceAmbition campaign exceede?",FALSE,2018,3,25,23,46,13,en,recent,FALSE,24005213,http://pbs.twimg.com/profile_background_images/313288951/WDS_Marketing_-_RGB.jpg,3D1957,FF0000,FALSE,https://pbs.twimg.com/profile_images/720802377637310464/chtXqIND_normal.jpg,24005213,FALSE,3437,FALSE,TRUE,3746,https://pbs.twimg.com/profile_background_images/313288951/WDS_Marketing_-_RGB.jpg,61277,"""What's On Your Business Bucket List?"" WDS elevates clients to help them get known in the most positive ways via Awards, Media Coverage, Events. (913) 362-4541",FALSE,25/03/2018
25/03/2018 23:15,"{'urls': [{'display_url': 'goo.gl/fb/r2f443', 'expanded_url': 'https://goo.gl/fb/r2f443', 'url': 'https://t.co/aoL6ym657X', 'indices': [26, 49]}], 'hashtags': [], 'symbols': [], 'user_mentions': []}",0,FALSE,9.78E+17,9.78E+17,FALSE,ja,"{'iso_language_code': 'in', 'result_type': 'recent'}",0,FALSE,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",&lt;b&gt;Nasdaq&lt;/b&gt; https://t.co/aoL6ym657X,FALSE,2018,3,25,23,15,57,in,recent,FALSE,8.22E+17,,333333,1DA1F2,FALSE,https://pbs.twimg.com/profile_images/822472692984987649/x7O_0gTG_normal.jpg,8.22E+17,FALSE,1889,TRUE,FALSE,571,,72922,,FALSE,25/03/2018
25/03/2018 22:33,"{'urls': [{'display_url': 'dukascopy.com/refpro/in.php??', 'expanded_url': 'https://www.dukascopy.com/refpro/in.php?aHR0cHM6Ly93d3cuZHVrYXNjb3B5LmNvbS9meHNwaWRlci9lbi81MjIwMTcxMzUzODMyMzEzMTA5Lz91dG1fc291cmNlPXR3aXR0ZXImdXRtX21lZGl1bT1zb2NpYWwmdXRtX2NhbXBhaWduPWZ4c3BpZGVyJTIwdHdpdHRlciUyMHBvc3RpbmcKc3BwLXR3LVNwaWRFTg==', 'url': 'https://t.co/nvGDfwGnPZ', 'indices': [113, 136]}], 'hashtags': [{'indices': [88, 93], 'text': 'cnbc'}, {'indices': [105, 112], 'text': 'NASDAQ'}], 'symbols': [], 'user_mentions': []}",1,FALSE,9.78E+17,9.78E+17,FALSE,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,FALSE,"<a href=""http://www.dukascopy.com/fxspider/"" rel=""nofollow"">FXS_Stocks_EN</a>","Facebook reportedly saves extensive data of personal calls, texts made by Android users #cnbc.com - U.S. #NASDAQ https://t.co/nvGDfwGnPZ",FALSE,2018,3,25,22,33,15,en,recent,FALSE,4643811147,,333333,1DA1F2,FALSE,https://pbs.twimg.com/profile_images/681844381188493313/5MdeK9QC_normal.png,4643811147,FALSE,26829,TRUE,FALSE,30844,,78710,#Stock #news for professionals,FALSE,25/03/2018
25/03/2018 22:26,"{'urls': [], 'hashtags': [], 'symbols': [], 'user_mentions': []}",0,FALSE,9.78E+17,9.78E+17,FALSE,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Nasdaq futures treading water. Facebook still a drag on it,FALSE,2018,3,25,22,26,39,en,recent,FALSE,95194170,http://abs.twimg.com/images/themes/theme1/bg.png,333333,1DA1F2,FALSE,https://pbs.twimg.com/profile_images/954015564967526401/S73IAeSU_normal.jpg,95194170,FALSE,452,TRUE,FALSE,733,https://abs.twimg.com/images/themes/theme1/bg.png,25433,"I always tell people to take the high road, because then, there?s more room for me on the low road.",FALSE,25/03/2018
25/03/2018 22:25,"{'urls': [{'display_url': 'twitter.com/i/moments/9780?', 'expanded_url': 'https://twitter.com/i/moments/978032119258607616', 'url': 'https://t.co/bkF85N9nOE', 'indices': [86, 109]}], 'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AxiTrader', 'name': 'AxiTrader', 'id': 181734086, 'id_str': '181734086', 'indices': [3, 13]}, {'screen_name': 'gregorymckenna', 'name': 'Greg McKenna', 'id': 252437614, 'id_str': '252437614', 'indices': [110, 125]}, {'screen_name': 'AxiTrader', 'name': 'AxiTrader', 'id': 181734086, 'id_str': '181734086', 'indices': [126, 136]}]}",0,FALSE,9.78E+17,9.78E+17,FALSE,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",1,FALSE,"<a href=""http://www.6ix.com"" rel=""nofollow"">Mining Engagement</a>","RT @AxiTrader: ?? ?Daily Digest: US Session ? Stocks Fall &amp; Gold Rockets Higher?

https://t.co/bkF85N9nOE
@gregorymckenna @AxiTrader 
$SPX?",FALSE,2018,3,25,22,25,28,en,recent,FALSE,8.98E+17,,333333,1DA1F2,FALSE,https://pbs.twimg.com/profile_images/905513350733418496/tQJ9bJg6_normal.jpg,8.98E+17,FALSE,138,TRUE,FALSE,206,,22249,,FALSE,25/03/2018
25/03/2018 22:21,"{'urls': [{'display_url': 'twitter.com/i/moments/9780?', 'expanded_url': 'https://twitter.com/i/moments/978032119258607616', 'url': 'https://t.co/bkF85N9nOE', 'indices': [71, 94]}, {'display_url': 'twitter.com/i/web/status/9?', 'expanded_url': 'https://twitter.com/i/web/status/978034074387333120', 'url': 'https://t.co/yKCNbllMJP', 'indices': [112, 135]}], 'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gregorymckenna', 'name': 'Greg McKenna', 'id': 252437614, 'id_str': '252437614', 'indices': [95, 110]}]}",1,FALSE,9.78E+17,9.78E+17,FALSE,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",1,FALSE,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","?? ?Daily Digest: US Session ? Stocks Fall &amp; Gold Rockets Higher?

https://t.co/bkF85N9nOE
@gregorymckenna? https://t.co/yKCNbllMJP",TRUE,2018,3,25,22,21,8,en,recent,FALSE,181734086,http://pbs.twimg.com/profile_background_images/630622143131222016/raY2Krv9.jpg,333333,B01117,FALSE,https://pbs.twimg.com/profile_images/629432695072780288/hP21NGBw_normal.jpg,181734086,FALSE,5970,FALSE,FALSE,14283,https://pbs.twimg.com/profile_background_images/630622143131222016/raY2Krv9.jpg,12015,"Trade #Forex with a Leading Global Broker. We're founded by traders, so we've built #AxiTrader to be the Forex broker that we've wanted to trade with ourselves.",FALSE,25/03/2018
25/03/2018 20:20,"{'urls': [], 'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'forex_formacion', 'name': 'Forex Formación', 'id': 852258528597340161, 'id_str': '852258528597340161', 'indices': [3, 19]}]}",0,FALSE,9.78E+17,9.78E+17,FALSE,es,"{'iso_language_code': 'es', 'result_type': 'recent'}",4,FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @forex_formacion: ESCÁNDALO: Facebook, entre el riesgo regulatorio y el de pérdida de usuarios y anunciantes. Cambridge Analytica podría?",FALSE,2018,3,25,20,20,21,es,recent,FALSE,9.14E+17,,333333,1DA1F2,FALSE,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,9.14E+17,FALSE,17,TRUE,FALSE,5,,37,,FALSE,25/03/2018
25/03/2018 20:07,"{'urls': [{'display_url': 'nasdaq.com/article/facebo?', 'expanded_url': 'https://www.nasdaq.com/article/facebook-gets-serious-about-challenging-amazons-twitch-cm939462', 'url': 'https://t.co/WAUFzWascR', 'indices': [69, 92]}], 'hashtags': [], 'symbols': [], 'media': [{'type': 'photo', 'display_url': 'pic.twitter.com/3t2pwgcoZS', 'id': 978000371690844165, 'expanded_url': 'https://twitter.com/equigorithmics/status/978000373679083520/photo/1', 'media_url': 'http://pbs.twimg.com/media/DZKOKAjVMAU-pgu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DZKOKAjVMAU-pgu.jpg', 'url': 'https://t.co/3t2pwgcoZS', 'id_str': '978000371690844165', 'indices': [93, 116], 'sizes': {'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}, 'large': {'h': 387, 'w': 580, 'resize': 'fit'}, 'small': {'h': 387, 'w': 580, 'resize': 'fit'}, 'medium': {'h': 387, 'w': 580, 'resize': 'fit'}}}], 'user_mentions': []}",0,FALSE,9.78E+17,9.78E+17,FALSE,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,FALSE,"<a href=""http://www.google.com"" rel=""nofollow"">Equigorithmics Auto-Tweeter</a>",Facebook Gets Serious About Challenging Amazon's Twitch | Read more: https://t.co/WAUFzWascR https://t.co/3t2pwgcoZS,FALSE,2018,3,25,20,7,14,en,recent,FALSE,9.54E+17,,333333,1DA1F2,FALSE,https://pbs.twimg.com/profile_images/956435050232537089/d2uCu5Ds_normal.jpg,9.54E+17,FALSE,39,TRUE,FALSE,7,,1003,An algorithmic approach to investing.,FALSE,25/03/2018
25/03/2018 20:01,"{'urls': [], 'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Nasdaq', 'name': 'Nasdaq', 'id': 18639734, 'id_str': '18639734', 'indices': [3, 10]}]}",0,FALSE,9.78E+17,9.78E+17,FALSE,ru,"{'iso_language_code': 'en', 'result_type': 'recent'}",89,FALSE,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @Nasdaq: ?? The Dow is above 25,000 today
?? Nasdaq crossed 7,000 
?? The S&amp;P 500 is above 2,700
?? AND it's snowing in Times Square.?",FALSE,2018,3,25,20,1,57,en,recent,FALSE,2755694301,http://pbs.twimg.com/profile_background_images/592742432107671552/MAXXTwzg.jpg,333333,E81C4F,FALSE,https://pbs.twimg.com/profile_images/505672946883788800/w_ynVptf_normal.jpeg,2755694301,FALSE,5000,FALSE,FALSE,945,https://pbs.twimg.com/profile_background_images/592742432107671552/MAXXTwzg.jpg,33536,"I'm immigrant Loves America USA.NWA MY FAVORITE.I Very Love,Want CHLOË Grace Moretz.I Need More subscribers,likes on my account.Adore Tom Holland Spider Man NYC",FALSE,25/03/2018
25/03/2018 19:56,"{'urls': [], 'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'forex_formacion', 'name': 'Forex Formación', 'id': 852258528597340161, 'id_str': '852258528597340161', 'indices': [3, 19]}]}",0,FALSE,9.78E+17,9.78E+17,FALSE,es,"{'iso_language_code': 'es', 'result_type': 'recent'}",4,FALSE,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @forex_formacion: ESCÁNDALO: Facebook, entre el riesgo regulatorio y el de pérdida de usuarios y anunciantes. Cambridge Analytica podría?",FALSE,2018,3,25,19,56,52,es,recent,FALSE,7.31E+17,,333333,1DA1F2,FALSE,https://pbs.twimg.com/profile_images/730568742925668352/twsFpymy_normal.jpg,7.31E+17,FALSE,741,TRUE,FALSE,238,,5633,"Trading 24h Twitter profile for traders.
English & Spanish",FALSE,25/03/2018
